+----+--------------------+--------------------+--------------------+------------------------+-----------------------+-----------------------+
| i  |         xi         |         xs         |         xm         |          fxm           |       error_abs       |       error_rel       |
+----+--------------------+--------------------+--------------------+------------------------+-----------------------+-----------------------+
| 1  |        0.0         |        1.0         |        0.5         |  -0.2931087267313766   |       No existe       |       No existe       |
| 2  |        0.5         |        1.0         |        0.75        |  -0.11839639385347844  |         0.25          |  0.3333333333333333   |
| 3  |        0.75        |        1.0         |       0.875        | -0.036817690757380395  |         0.125         |  0.14285714285714285  |
| 4  |       0.875        |        1.0         |       0.9375       |  6.339161592386899E-4  |        0.0625         |  0.06666666666666667  |
| 5  |       0.875        |       0.9375       |      0.90625       | -0.017772289226861138  |        0.03125        | 0.034482758620689655  |
| 6  |      0.90625       |       0.9375       |      0.921875      | -0.008486582211768012  |       0.015625        |  0.01694915254237288  |
| 7  |      0.921875      |       0.9375       |     0.9296875      | -0.0039053586270640928 |       0.0078125       | 0.008403361344537815  |
| 8  |     0.9296875      |       0.9375       |     0.93359375     | -0.0016304381170096915 |      0.00390625       | 0.0041841004184100415 |
| 9  |     0.93359375     |       0.9375       |    0.935546875     | -4.969353153195244E-4  |      0.001953125      | 0.0020876826722338203 |
| 10 |    0.935546875     |       0.9375       |    0.9365234375    |  6.882244496264622E-5  |      9.765625E-4      | 0.0010427528675703858 |
| 11 |    0.935546875     |    0.9365234375    |   0.93603515625    | -2.1397350516394464E-4 |     4.8828125E-4      | 5.216484089723526E-4  |
| 12 |   0.93603515625    |    0.9365234375    |   0.936279296875   | -7.255478812057126E-5  |     2.44140625E-4     | 2.607561929595828E-4  |
| 13 |   0.936279296875   |    0.9365234375    |  0.9364013671875   | -1.8609849000705836E-6 |    1.220703125E-4     | 1.3036110024768608E-4 |
| 14 |  0.9364013671875   |    0.9365234375    |  0.93646240234375  |  3.348202684883006E-5  |    6.103515625E-5     | 6.517630189663039E-5  |
| 15 |  0.9364013671875   |  0.93646240234375  | 0.936431884765625  | 1.5810845160335596E-5  |    3.0517578125E-5    | 3.2589212970506765E-5 |
| 16 |  0.9364013671875   | 0.936431884765625  | 0.9364166259765625 |  6.975011174192858E-6  |   1.52587890625E-5    | 1.6294872003780412E-5 |
| 17 |  0.9364013671875   | 0.9364166259765625 | 0.9364089965820312 | 2.5570333977986692E-6  |   7.62939453125E-6    | 8.147502383144447E-6  |
| 18 |  0.9364013671875   | 0.9364089965820312 | 0.9364051818847656 | 3.4802931392352576E-7  |   3.814697265625E-6   | 4.0737677870886005E-6 |
| 19 |  0.9364013671875   | 0.9364051818847656 | 0.9364032745361328 |  -7.56476526753147E-7  |  1.9073486328125E-6   | 2.036888042448747E-6  |
| 20 | 0.9364032745361328 | 0.9364051818847656 | 0.9364042282104492 | -2.042232898902263E-7  |  9.5367431640625E-7   | 1.0184429839972054E-6 |
| 21 | 0.9364042282104492 | 0.9364051818847656 | 0.9364047050476074 |  7.190309125881811E-8  |  4.76837158203125E-7  | 5.092212326922068E-7  |
| 22 | 0.9364042282104492 | 0.9364047050476074 | 0.9364044666290283 | -6.616007947046754E-8  | 2.384185791015625E-7  | 2.546106811726859E-7  |
| 23 | 0.9364044666290283 | 0.9364047050476074 | 0.9364045858383179 | 2.8715108069121698E-9  | 1.1920928955078125E-7 | 1.2730532437969525E-7 |
| 24 | 0.9364044666290283 | 0.9364045858383179 | 0.9364045262336731 | -3.164428308277678E-8  | 5.9604644775390625E-8 | 6.365266624150929E-8  |
+----+--------------------+--------------------+--------------------+------------------------+-----------------------+-----------------------+

