+----+----------------------+----------------------+-----------------------+-----------------------+
| i  |          xn          |          fx          |       error_abs       |       error_rel       |
+----+----------------------+----------------------+-----------------------+-----------------------+
| 0  |         -0.5         | -0.2931087267313766  |       No existe       |       No existe       |
| 1  | -0.2931087267313766  | -0.41982154360625734 |  0.2068912732686234   |  0.7058516325180302   |
| 2  | -0.41982154360625734 | -0.3463045191776651  |  0.12671281687488073  |  0.3018254275052694   |
| 3  | -0.3463045191776651  | -0.3909584565423095  |  0.07351702442859226  |  0.21229010988122773  |
| 4  | -0.3909584565423095  | -0.3644050348941392  |  0.0446539373646444   |  0.11421657881394863  |
| 5  | -0.3644050348941392  | -0.3804263031679563  |  0.02655342164817026  |  0.0728678780628926   |
| 6  | -0.3804263031679563  | -0.37083679528020885 | 0.016021268273817058  |  0.04211398670491969  |
| 7  | -0.37083679528020885 | -0.3766056453635812  | 0.009589507887747428  |  0.02585910570309367  |
| 8  | -0.3766056453635812  |  -0.373145417607189  | 0.005768850083372357  |  0.01531801276585489  |
| 9  |  -0.373145417607189  | -0.3752246411870562  | 0.003460227756392209  | 0.009273134797101538  |
| 10 | -0.3752246411870562  | -0.37397658604830963 | 0.002079223579867173  | 0.005541276749014581  |
| 11 | -0.37397658604830963 | -0.3747262157084321  |  0.00124805513874654  | 0.003337254751518905  |
| 12 | -0.3747262157084321  | -0.37427613331045395 | 7.496296601224861E-4  | 0.0020004729551821904 |
| 13 | -0.37427613331045395 | -0.3745464284580923  | 4.5008239797816874E-4 | 0.0012025410062811435 |
| 14 | -0.3745464284580923  | -0.3743841264348447  | 2.7029514763832196E-4 | 7.216599254491759E-4  |
| 15 | -0.3743841264348447  | -0.3744815908319551  | 1.623020232475736E-4  | 4.335173737015251E-4  |
| 16 | -0.3744815908319551  | -0.37442306518389706 | 9.746439711039168E-5  |  2.60264855460219E-4  |
| 17 | -0.37442306518389706 | -0.37445820986270584 | 5.8525648058027624E-5 | 1.563088749067392E-4  |
| 18 | -0.37445820986270584 | -0.3744371058494556  | 3.514467880877392E-5  | 9.385474235338472E-5  |
| 19 | -0.3744371058494556  | -0.37444977872741303 | 2.110401325022826E-5  | 5.6361970863841786E-5 |
| 20 | -0.37444977872741303 | -0.37444216876320036 | 1.2672877957420337E-5 | 3.3843999055066256E-5 |
| 21 | -0.37444216876320036 | -0.3744467385052047  | 7.609964212673681E-6  | 2.0323470077661768E-5 |
| 22 | -0.3744467385052047  | -0.37444399440652526 | 4.5697420043566694E-6 | 1.2203983996760467E-5 |
| 23 | -0.37444399440652526 | -0.37444564222126353 | 2.744098679452467E-6  | 7.328462254553512E-6  |
| 24 | -0.37444564222126353 | -0.37444465271927385 | 1.647814738270359E-6  | 4.400678102421738E-6  |
| 25 | -0.37444465271927385 | -0.3744452469090602  | 9.895019896788426E-7  | 2.6425854461879188E-6 |
| 26 | -0.3744452469090602  | -0.37444489010190096 | 5.941897863737111E-7  | 1.5868535954951491E-6 |
| 27 | -0.37444489010190096 | -0.37444510436235334 | 3.568071592630062E-7  |  9.52896323851302E-7  |
| 28 | -0.37444510436235334 | -0.3744449757003151  | 2.1426045238026603E-7 | 5.722079148160649E-7  |
| 29 | -0.3744449757003151  | -0.37444505296105535 |  1.28662038245686E-7  | 3.4360732976868657E-7 |
| 30 | -0.37444505296105535 | -0.3744450065664714  | 7.726074024994034E-8  | 2.0633398582508698E-7 |
+----+----------------------+----------------------+-----------------------+-----------------------+

