Funcion exp(x) para x = 1.0471975511965976
En la iteracion: 0, resultado: 1.0 Error 1.0
En la iteracion: 1, resultado: 2.0471975511965974 Error 1.0471975511965976
En la iteracion: 2, resultado: 2.5955089068126727 Error 0.5483113556160754
En la iteracion: 3, resultado: 2.786905676444153 Error 0.1913967696314803
En la iteracion: 4, resultado: 2.8370132335604095 Error 0.05010755711625637
En la iteracion: 5, resultado: 2.847507735782127 Error 0.010494502221717465
En la iteracion: 6, resultado: 2.8493393719533953 Error 0.001831636171268297
En la iteracion: 7, resultado: 2.8496133840838573 Error 0.0002740121304621818
En la iteracion: 8, resultado: 2.84964925218786 Error 3.586810400226993e-05
En la iteracion: 9, resultado: 2.8496534256312684 Error 4.173443408582439e-06
En la iteracion: 10, resultado: 2.8496538626732404 Error 4.370419717525111e-07
En la iteracion: 11, resultado: 2.849653904279539 Error 4.160629841721475e-08
En la iteracion: 12, resultado: 2.849653907910373 Error 3.6308344847385137e-09
En la iteracion: 13, resultado: 2.8496539082028502 Error 2.924769985552563e-10
En la iteracion: 14, resultado: 2.8496539082247274 Error 2.1877228333456802e-11
En la iteracion: 15, resultado: 2.8496539082262546 Error 1.5273186625176523e-12
En la iteracion: 16, resultado: 2.8496539082263546 Error 9.996277270533428e-14
En la iteracion: 17, resultado: 2.8496539082263608 Error 6.157692399285184e-15
En la iteracion: 18, resultado: 2.849653908226361 Error 3.582400223085193e-16
En la iteracion: 19, resultado: 2.849653908226361 Error 1.974463547905768e-17
Resultado final: 2.849653908226361
